naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue,avg_future_jobs_displaced,lgbm_avg_future_productivity,lgbm_avg_future_revenue,lgbm_avg_future_jobs_displaced
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2914.4822,5420.3584,365.9991,1917.8284947756267,4272.967743009497,365.9991791558108
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2546.9048,3117.2598,365.9991,1898.0559499844817,2466.4058468957523,365.9991791558108
324110,Petroleum Refineries,Petroleum Refineries,324110 | Petroleum Refineries,324110 - Petroleum Refineries,exact,1064.7198,5999.4854,365.9991,1003.3954962536574,4397.296173021952,365.9991791558108
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,1025.6554,1323.363,365.9991,739.6269629956658,1079.553345912128,365.9991791558108
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,1008.03723,4642.993,365.9991,1019.8315364164594,3901.1547941955896,365.9991791558108
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,867.16003,1257.0756,365.9991,628.7062630352125,1100.012226991977,365.9991791558108
325311,Nitrogenous Fertilizer Manufacturing,Nitrogenous Fertilizer Mfg,325311 | Nitrogenous Fertilizer Mfg,325311 - Nitrogenous Fertilizer Manufacturing,exact,788.7374,1161.2485,365.9991,880.1375363302501,1389.4291562187675,365.9991791558108
325412,Pharmaceutical Preparation Manufacturing,Pharma Prep Mfg,325412 | Pharma Prep Mfg,325412 - Pharmaceutical Preparation Manufacturing,exact,712.523,1016.96277,365.9991,598.6741796796944,1002.9384028896088,365.9991791558108
325611,Soap and Other Detergent Manufacturing,Soap & Other Detergent Mfg,325611 | Soap & Other Detergent Mfg,325611 - Soap and Other Detergent Manufacturing,exact,672.4802,961.47485,365.9991,603.5617783356812,808.0774460280884,365.9991791558108
325193,Ethyl Alcohol Manufacturing,Ethyl Alcohol Mfg,325193 | Ethyl Alcohol Mfg,325193 - Ethyl Alcohol Manufacturing,exact,662.132,2793.5017,365.9991,823.9989404696439,3227.1652534007108,365.9991791558108
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,654.9936,1273.8495,365.9991,515.627831497349,1222.7985345424902,365.9991791558108
325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide & Other Agricultural Chem Mfg,325320 | Pesticide & Other Agricultural Chem Mfg,325320 - Pesticide and Other Agricultural Chemical Manufacturing,exact,620.3443,1376.2178,365.9991,623.3555389517473,1516.3345156240875,365.9991791558108
